,State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Number_Counties,Population_Size,Population_Density,Poverty,Age_19_Under,Age_19_64,Age_65_84,Age_85_and_Over,White,Black,Native_American,Asian,Hispanic,ALE,All_Death,Health_Status,Unhealthy_Days,LBW,VLBW,Premature,Under_18_deaths,Over_40_deaths,Unmarried,Late_Care,Infant_Mortality,IM_Wh_Non_Hisp,IM_Bl_Non_Hisp,IM_Neonatal,IM_Postneonatal,Brst_Cancer,Col_Cancer,CHD,Homicide,Lung_Cancer,MVA,Stroke,Suicide,Injury,Total_Births,Total_Deaths,MOBD_Time_Span,Uninsured,Elderly_Medicare,Disabled_Medicare,Prim_Care_Phys_Rate,Dentist_Rate,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Ecol_Rpt,Ecol_Rpt_Ind,Ecol_Exp,Salm_Rpt,Salm_Rpt_Ind,Salm_Exp,Shig_Rpt,Shig_Exp,Toxic_Chem,Diabetes,Smoker,Obesity
485,13,205,Mitchell,Georgia,GA,45,23791,46,22.3,26.7,61.4,10.5,1.4,51.7,47.1,0.3,0.5,2.6,72.9,1076.9,29.3,7.6,11.8,2.6,16.4,9.2,0.9,57.2,21.2,12.8,5.8,18,6.2,6.5,19.7,20.5,231.3,9.8,79.7,31.8,87.6,12.5,37.2,3354,2366,1994-2003,4741,2562,719,50.4,12.6,5232,601,780,1415,1248,2,4,0,61,4,44,51,23,16684,12.4,17.1,27.2
490,13,215,Muscogee,Georgia,GA,33,185271,857,16.8,29.2,59.1,10.2,1.5,49.3,46.4,0.4,2.3,4,73.8,1071.7,17.7,6.1,10.2,2.4,14.2,5.1,1.2,47,25.2,15.8,9.3,23.1,10.7,5.2,30.9,23.9,208.8,9,64.7,12.9,69.5,11.4,21.4,8901,5470,2001-2003,29325,21263,4620,114.4,48,23941,5193,5743,10673,9640,0,3,11,101,3,105,51,100,241914,6.7,22.1,25.1
491,13,217,Newton,Georgia,GA,37,86713,314,11.2,28.6,62.4,8,1,65.7,32,0.2,1.2,3.2,74.9,977,17.8,7.1,8.5,1.5,12.4,4.6,1.2,32.4,11.4,6.6,5.1,10.5,3.1,3.4,32.6,16.8,179.2,5,68.5,25.2,81.6,12.1,26.5,6093,2583,1999-2003,8285,6990,1819,35.8,18.5,13816,2270,2040,5025,4394,0,3,3,58,4,57,61,27,139117,6.1,30.9,29.5
494,13,223,Paulding,Georgia,GA,26,112411,359,6.8,30.1,64.3,5.1,0.5,84.8,12.9,0.3,0.7,3.6,75.9,983.1,14.2,7,6.3,1.1,11,2.3,1.5,16.6,5.5,4.2,3.9,8.5,2.3,1.8,25.1,21.4,148.5,4.2,72.3,22.7,64.9,11.9,25.2,7693,2211,1999-2003,9423,4175,1106,5.3,9.8,13361,2446,2207,6373,5573,1,3,4,48,3,62,18,18,5729,6.6,27.6,23.1
505,13,245,Richmond,Georgia,GA,33,195769,604,18.6,29,60,9.8,1.2,43.7,52.7,0.3,1.7,2.6,72.7,1129.7,18,6.4,10.3,2.1,12.8,6,1.4,55.8,18.3,10.7,6.6,13.3,7,3.7,28,20.1,174.1,9.5,65,16.1,72.5,12,22.9,9606,5831,2001-2003,34098,20150,6218,153.8,111.9,26394,6444,5305,11316,10262,2,3,12,189,4,113,63,107,11253898,9.3,27.3,27.7
506,13,247,Rockdale,Georgia,GA,26,78545,601,10.9,27.9,62.9,8.4,0.9,62.2,34.4,0.3,2.1,8.5,76.4,951,13.9,4.9,7.9,1.3,10.9,4.4,2.2,36.2,18.6,3.2,1.6,5.5,2,1.2,25.7,19.3,158.1,4.5,68.9,13.6,79.5,10.3,24.8,5044,2540,1999-2003,9397,6544,1258,86.6,36.9,8762,2261,1759,4609,4062,2,3,4,72,4,50,34,14,11366,11.6,17.1,22.9
513,13,261,Sumter,Georgia,GA,40,32912,68,20.8,29,58,10.9,2.1,49,49.8,0.3,0.6,3.5,74.1,1002.7,16.3,5.8,11.8,1.8,15.3,6.9,0.9,54.9,21.9,8.5,7.7,9.6,5,3.5,29.4,14.8,185.6,8.3,55.3,17.7,105.9,8.1,27.4,2602,1747,1999-2003,5966,3597,953,57.7,33.4,6094,1023,1024,1902,1718,0,3,0,46,4,32,51,15,447110,9.3,25.8,25.6
516,13,267,Tattnall,Georgia,GA,33,23211,48,21.8,24.2,64.9,9.6,1.3,69.2,29.6,0.3,0.5,11.8,73.5,1078.4,21.3,7.8,8.7,1.5,11.5,8.1,0.8,43.5,26.8,8.5,5.1,23.3,5.8,2.7,28.5,20.5,223,7.2,75.4,29.7,86.3,17.5,21.6,3183,2123,1994-2003,3854,2504,726,30.2,4.3,5144,574,724,1424,1235,0,3,2,38,4,26,12,11,0,10.9,23.6,27.2
520,13,275,Thomas,Georgia,GA,27,44692,82,16.9,26.4,59.6,11.9,2.2,60.4,38.2,0.2,0.5,1.8,73,1033.7,22.3,5.9,10.1,2,14.3,7.5,1.5,49.8,16.6,8.5,2.5,15.8,6,2.5,25.7,17.3,154.2,5.3,72.6,27.3,91.6,12,24.3,3172,2419,1999-2003,7527,6204,1843,102.9,35.8,7705,1040,1535,2671,2289,0,3,0,96,4,47,45,17,6611,10.1,22.3,27.9
521,13,277,Tift,Georgia,GA,27,40793,154,18.1,28.7,59.7,10.3,1.4,70.2,27.8,0.2,1.4,10.1,74.7,968.7,22.2,6.5,10.7,2.1,14.5,7,0.9,47,27,8.9,5.1,16.5,6.1,2.9,29.5,20.1,176.3,9.1,56.7,21,72.9,12,20.9,3130,1750,1999-2003,7537,4512,1159,100.5,27,8116,1032,1060,2368,2123,0,3,0,68,4,43,56,16,83082,9.7,17.5,30.3
522,13,279,Toombs,Georgia,GA,27,27274,74,21.1,28.8,58.7,11,1.6,73.8,25.1,0.2,0.6,11,72.7,1104,24.5,6.2,9.1,1,13.9,8.8,1.2,48.8,24.6,6.9,6.1,8.9,3.2,3.7,16.7,19.4,103.5,11,79.1,36.3,92.5,10.2,21.9,2173,1431,1999-2003,5925,3304,1089,99,36.7,5616,819,908,1578,1368,0,3,0,70,4,29,23,10,26,13.4,29.6,24.8
525,13,285,Troup,Georgia,GA,37,62015,150,15.2,28.1,60.1,10,1.7,65.5,32.8,0.1,1,2.3,72.5,1115.3,12.8,5.4,10.2,1.7,15.2,6.7,1,48.6,12.7,9.1,7.7,12.3,6.2,3,26.3,23.4,185.9,6.3,60.3,20.1,87.5,13.2,20,4704,3279,1999-2003,8813,7529,1900,58.1,35.5,10592,2166,1892,3622,3173,0,3,3,91,4,51,5,24,297165,9.9,23.2,23.2
531,13,297,Walton,Georgia,GA,32,75647,230,10.6,27.3,62.2,9.3,1.2,83.5,14.5,0.3,1,2.5,75.9,948.7,17,6.9,7.4,1.4,12.5,4,1.7,28.2,15.3,6.2,5,4.7,4.2,1.9,23.9,16.3,236.4,4,56.9,25.5,79.2,10.8,21.2,5194,2455,1999-2003,7351,7152,1538,44.9,9.3,12960,1679,1708,4458,3795,2,3,13,37,3,45,19,22,35682,6,25.9,27
532,13,299,Ware,Georgia,GA,23,34492,38,18.9,26.1,58.6,13.1,2.3,71.6,27.3,0.2,0.5,2.7,73.8,1031.6,26.9,7.5,7.7,1.4,10.8,7.3,1,45.7,15.9,7.4,6,10.9,3.7,3.7,21.1,14.7,186,8,63.7,23.1,73.3,15,27.9,2444,2131,1999-2003,6258,5373,1763,101.5,34.8,6698,879,1561,2067,1751,0,3,7,158,4,32,41,21,257922,13.1,25.4,33.7
545,15,3,Honolulu,Hawaii,HI,32,905266,1509,10.5,24.6,61.4,11.8,2.2,22.9,3,0.3,55.1,4.7,80.5,628.9,12.5,4.1,8.5,1.4,13.2,2.3,3.3,29.3,13.3,7.3,5.4,11.9,5,2.3,17.2,17.1,98.3,2.3,33.4,8.3,54.5,9.5,19.7,38506,18565,2001-2003,106915,115275,11477,124.5,80.3,91741,12197,13613,46831,58004,46,4,27,608,4,346,147,106,2356299,6.9,18,17.8
602,17,19,Champaign,Illinois,IL,40,184905,185,12.6,25.2,64.8,8.5,1.5,78.7,11.2,0.3,7.9,3.8,78.4,799.8,8.8,5.2,7.8,1.7,10.9,3.1,2.5,31.8,11.1,8.6,6.5,18.4,6.2,2.3,29,19.3,130.3,2.2,59.5,12.7,48.8,9.1,18.8,6883,3592,2001-2003,19833,17356,2424,121.7,45.4,9434,3998,2188,10137,14335,11,4,5,61,4,71,8,22,101095,5.8,20.3,19
608,17,31,Cook,Illinois,IL,34,5303683,5608,14.5,27.1,61.2,9.9,1.8,66.6,26.4,0.4,5.5,22.1,75.6,868.8,15.8,5.6,9.1,1.8,13.3,4.4,2.9,41.5,17.2,8.5,5.5,15.6,5.8,2.7,28.1,22.6,202.1,14.3,54.2,10.1,53.4,7.5,21.4,247949,134307,2001-2003,852932,577235,89487,137.2,67.4,767904,167659,109005,280843,312195,110,3,161,1970,3,1448,1459,805,12221689,7.1,21.4,22
611,17,37,DeKalb,Illinois,IL,32,97665,154,9.3,25.5,65,8.1,1.5,90.8,5,0.2,2.8,8.4,78.5,806.2,13.6,6.8,7.2,1.7,12.6,2,2.1,27.3,15.6,8.1,6.5,27,5.5,2.5,35,20.3,164.2,2.2,51.7,14.7,51.1,8,15,5686,3018,1999-2003,9807,9363,1150,37.9,38.9,6874,2808,1292,5329,7547,35,4,14,77,4,68,16,18,68844,5,21.6,23.5
614,17,43,DuPage,Illinois,IL,32,929113,2785,5.9,26.9,62.8,8.9,1.3,84.8,4.1,0.2,9.7,11.3,79.6,721.6,10.2,5,6.9,1.4,11,1.3,3.5,15.9,10.8,6.6,6,15.2,5.1,1.5,28.7,18.6,144.1,1.5,46.8,7.9,55.2,7.3,14.7,39133,17092,2001-2003,91691,90501,8296,150.4,78.1,61088,24496,12450,49336,53909,51,4,28,296,3,359,118,110,868607,5.2,18.9,17.4
631,17,77,Jackson,Illinois,IL,54,57954,99,19.3,21.9,66.9,9.2,2,81.2,12.6,0.3,4.3,2.9,76.4,890.7,11.1,5.8,8.2,1.4,11.8,2.8,1.8,38.5,16.4,8.6,7.1,13.9,5.6,3,24.8,25.4,169,4,54.7,14.4,59.6,7.9,19.8,3372,2379,1999-2003,8992,6389,1305,136.3,43.1,4765,1466,1103,3303,4858,0,3,0,34,3,59,26,29,38907,3.8,25.5,15.3
637,17,89,Kane,Illinois,IL,36,482113,926,7.4,30.4,61.5,7,1.1,89.9,5.6,0.4,2.9,27.3,77.8,799.7,13.3,4.9,6.9,1.4,11.7,3,2.3,30.2,19,6.5,5.2,14.2,4.7,1.7,31,21.3,150.4,4.5,56,10.8,59.9,8.4,17.1,24712,7572,2001-2003,56073,37576,5593,48.5,47.1,58483,14138,5767,24413,28425,21,4,13,164,4,159,53,80,557207,5.6,17.9,22.6
638,17,91,Kankakee,Illinois,IL,23,107972,160,11.3,27.3,59.8,11.2,1.7,82.6,15.2,0.2,0.9,6.4,74.5,1016.4,15.5,5.3,7.6,1.6,12.4,4.6,1.7,41,25.3,9.5,8.2,17.4,7.1,2.2,27.4,19.3,236.3,7,66.4,22.9,70.3,10.2,25.6,4620,3287,2001-2003,12693,13452,3164,65.8,29.6,13920,3361,1910,5710,6570,5,4,3,150,4,70,10,35,832945,7.5,22.1,28.1
641,17,97,Lake,Illinois,IL,32,702682,1570,6.9,29.7,61.4,8,1,85.9,6.8,0.3,5.5,18,78.6,785.1,12.5,5,7.3,1.3,11.3,2.2,3.4,23.8,16.3,5,4.9,10.3,3.1,1.9,27.6,18.4,160.5,2.8,52.5,8.7,60,7.6,16.5,31544,11514,2001-2003,74013,57718,7212,109,73.7,58614,16165,9449,36015,41644,32,4,20,561,4,263,130,81,668138,5.3,19.6,20.8
650,17,115,Macon,Illinois,IL,23,110167,190,13.5,25.5,58.8,13.3,2.4,82.8,14.6,0.2,0.9,1.2,76.5,866.7,16.3,6.9,9.5,1.9,13.9,5.7,1.5,47,18,8.1,6.9,13.1,7,1.2,22.7,21.7,132.5,6.4,64.2,12.4,76.1,8.4,24.1,4296,3538,2001-2003,11761,17236,2941,87.1,51.7,12240,3271,3860,5965,6624,5,4,3,49,3,74,9,37,7163343,8.4,29.2,23.7
652,17,119,Madison,Illinois,IL,25,264309,365,10.6,25,61.1,11.9,2,90.2,7.9,0.3,0.7,1.9,75.7,911.1,13.8,6.2,7.8,1.4,13.1,3.6,1.6,35,15.4,7.8,6.8,18.8,5.2,2.6,25,22.8,188.6,3.6,64.4,16.8,59.7,13.6,24.3,10077,7994,2001-2003,28044,36290,6477,51.1,57.9,27480,7435,4467,14404,16119,9,3,8,141,4,110,9,47,11328080,7.1,24.7,28
664,17,143,Peoria,Illinois,IL,23,182328,294,13.4,26.7,59.4,11.7,2.2,78.7,16.9,0.2,2.3,2.6,77.2,853.6,12.5,4.9,8.6,1.7,14.3,4.6,1.7,43.1,12.7,8.3,4.9,17.8,4.7,3.6,21.2,22.1,152.4,6.1,66.1,10.1,77.9,9.9,21.8,7793,5362,2001-2003,21375,25327,4016,145.9,54.3,19008,4619,3195,9711,11026,6,4,5,49,3,120,126,60,31953727,7.4,24.1,24.1
674,17,163,St. Clair,Illinois,IL,25,260067,392,14.5,27.5,59.9,10.8,1.8,67.8,29.5,0.3,1.2,2.6,74.6,981.7,19.3,6.5,9,1.8,14.5,5.2,1.6,46.4,18,9.7,6.9,13.9,5.4,4.3,27.2,23.5,182.4,12.6,69.6,16.2,56.4,9.3,22.8,11014,7826,2001-2003,31928,31876,6248,71.5,54.2,31801,7574,4461,13727,15710,15,4,8,121,3,131,30,100,2228121,9.2,22.7,29.7
676,17,167,Sangamon,Illinois,IL,44,192789,222,10.1,25,61.4,11.5,2.1,86.8,10.4,0.2,1.4,1.2,76.8,855.9,15,5.6,8.9,1.4,12.8,4,1.8,40.3,12.8,9.2,6.6,19.3,6.5,2.8,30.2,22.8,148.3,7.4,60,13.6,56.5,10.9,17.8,7586,5430,2001-2003,19820,25116,4282,154.6,53.9,15502,4859,4099,10486,11258,7,3,11,73,4,69,17,23,1084384,11,19.8,24
684,17,183,Vermilion,Illinois,IL,35,82344,92,14,25.5,58.3,13.7,2.4,87.1,11.2,0.2,0.6,3.4,75.6,948.7,18.2,7.1,8.8,1.7,12.7,5.7,1,47.5,20.2,10.2,9.4,15.2,5.8,4.2,23.8,21.8,187.9,5.7,75.7,21.2,63.6,9.9,21.3,5681,4857,1999-2003,10340,13075,2698,61.9,36.4,11809,2428,1698,4451,4780,6,4,4,46,3,58,6,29,5340930,9,26,31.8
691,17,197,Will,Illinois,IL,36,642813,768,6.7,29.1,62.8,7.1,1,84.2,10.7,0.3,3.5,12.7,77.8,814.4,9.8,5.6,7.3,1.5,12,2,2.4,20.7,8.7,6.2,5.1,14.9,4.9,1.3,26.4,21.2,197.4,3,55.1,12.3,53.5,9.2,16.5,27088,9565,2001-2003,57127,43482,7035,42.9,26.3,52686,17894,6412,33167,38442,25,3,17,189,3,201,68,101,5328100,5.2,23.2,23.6
693,17,201,Winnebago,Illinois,IL,36,288695,562,12.3,26.7,60.6,10.9,1.8,85,11,0.4,2.1,9.5,76.8,851,16.9,6.8,8.6,1.9,13.5,3.9,2,40.7,18.4,8.5,6.8,18.9,6.5,2,25.9,17.6,170.2,5.5,62.2,12.5,58.6,10.1,24.6,11909,7470,2001-2003,32344,35312,6282,98.4,54.7,35276,9120,3534,15380,16951,25,4,8,157,4,102,126,51,1821297,9.3,26.2,25.8
696,18,3,Allen,Indiana,IN,36,344006,523,10.2,28.9,59.8,9.6,1.7,84.4,11.7,0.4,1.8,5.2,77.3,831.5,11.6,5.6,8.4,1.5,13.2,3.5,1.9,36.3,17.5,7.2,6,14.4,4.4,2.9,26.6,22.8,148.8,6.8,54.7,11.4,51.5,13.2,22.8,15756,7927,2001-2003,38612,37275,6411,71.5,44.5,31058,9435,10372,22202,14696,16,4,10,81,3,122,43,61,1862819,5.9,23.6,23.8
704,18,19,Clark,Indiana,IN,32,101592,271,9.4,25.1,62.5,10.9,1.6,90.5,7.1,0.3,0.8,2.6,75.1,1018.9,16.5,7.2,7.3,1.4,13.7,4.1,1.3,35.8,18.2,6.1,5.7,11.3,3,2.9,29.8,26,218.1,3.1,85.7,12.3,81.4,11.5,23.3,6587,4855,1999-2003,10617,12177,3305,69.9,28.5,13755,2790,2493,6882,4288,2,3,15,38,3,73,23,19,397616,8.7,29.5,22.2
712,18,35,Delaware,Indiana,IN,40,116362,296,13.4,24.5,61.5,12.1,1.9,91.1,6.8,0.2,0.9,1.2,76.2,933.4,14.4,6.9,8.6,1.7,11.9,3.5,1.2,39.9,12,11,8.9,29.6,8.2,2.7,29.5,19.5,170.7,2.7,69,12.9,61.5,12.4,21.4,4015,3520,2001-2003,12976,15632,2999,110.9,46.4,13121,3753,3587,8002,6006,4,3,4,32,3,46,1,14,851047,8.8,25,28.3
714,18,39,Elkhart,Indiana,IN,57,195362,421,9.5,29.7,59.3,9.3,1.7,91.6,5.5,0.3,1.2,12.4,77.1,825.7,15,5.4,6.5,1.1,9.7,3.6,1.8,37.2,36,7.5,7.2,22.1,4.4,3.1,25.4,14.2,175.1,6.3,58.2,17,62.8,8.5,19.8,9309,4252,2001-2003,24647,20152,3036,53.7,30.2,29585,4699,3628,12472,8349,7,3,11,48,3,73,17,22,3096185,5.5,23.2,25.2
721,18,53,Grant,Indiana,IN,37,70557,170,12.5,25.6,58.6,13.6,2.2,90.5,7.2,0.4,0.6,2.7,75.5,958.5,17,6.2,9,1.7,12.2,5.8,0.9,45.9,25.2,9.9,9.5,16.9,7.2,2.8,29.3,20.7,211.5,3.8,68.4,18.6,52.4,14.1,26.1,4325,4018,1999-2003,9209,10854,2241,46.8,42.5,9494,2792,1836,4777,3243,0,3,7,39,3,55,3,15,272820,8.7,27.8,33.2
739,18,89,Lake,Indiana,IN,25,493297,993,12.7,27.7,59.5,11.1,1.8,71.3,26.2,0.3,1.1,13.5,74.4,962.9,17.1,6.5,8.7,1.8,14.7,4,2,48.3,19.9,9.3,6.6,13.4,6,3.3,33.2,23.8,192.5,21.5,61.7,15.4,55.7,10.8,16.1,20729,14436,2001-2003,72085,61501,11339,72.2,43,61294,13921,8421,32382,21160,14,3,15,167,3,204,104,88,50248279,8.1,27.7,28.7
740,18,91,La Porte,Indiana,IN,44,110512,185,9.9,24.9,61.5,11.6,2,87.7,10.3,0.3,0.4,3.9,76.2,870.7,15.5,7,7.8,1.4,14.1,4.9,1.5,44.5,25.3,7.4,6.4,15.2,3.9,3.2,27.2,22.6,175.4,7.4,66.6,21.1,48.2,11.1,18.9,4066,3114,2001-2003,12900,14211,2394,67.9,42.5,14440,3216,2032,7514,4729,6,4,7,49,4,40,36,13,1347657,8,26.6,25.6
743,18,97,Marion,Indiana,IN,39,863133,2178,12.5,28.2,60.9,9.4,1.6,70.7,25.8,0.3,1.5,5.8,74.5,959,15.7,6.6,8.7,1.6,13.6,4.5,1.7,48.1,22.4,8.5,7.5,13.5,5.7,2.8,27.4,21.1,172.4,12.9,78.9,11.1,57.5,12.4,16.8,43869,22658,2001-2003,113729,93298,19598,132.8,64,102317,26086,24591,56153,35928,42,4,26,235,3,362,128,362,18593011,7.5,28,24.3
765,18,141,St. Joseph,Indiana,IN,24,266160,582,11.8,28,59,10.9,2.2,84,12,0.4,1.7,5.7,76.9,827.2,14,6.3,7.7,1.8,10.8,4,2,40.3,22.9,7.4,6.4,12.4,5.2,2.1,25.9,21.4,158.3,8.9,58.9,12,60.9,11.8,16.1,11339,7252,2001-2003,33036,35682,4819,95.4,45.1,29067,7116,3559,17436,12104,19,4,16,59,3,104,22,56,883724,8.1,25.3,22.8
776,18,163,Vanderburgh,Indiana,IN,27,173187,738,11.8,25.4,59.9,12.4,2.3,89,8.5,0.2,1.1,1.1,75.9,915.4,18.7,6.9,9.5,1.8,13.6,3.8,1.4,41.2,12.9,9.4,9,9.6,5.6,3.7,26,21.3,171.9,5.1,67.8,14.3,54.3,16,28.2,6950,5647,2001-2003,16380,25305,4933,114.9,56.6,19121,4790,4061,11725,7726,4,3,5,52,3,77,13,15,272097,9,28.6,27.3
778,18,167,Vigo,Indiana,IN,27,102592,254,13.7,25.3,61.2,11.4,2.1,90.8,6.1,0.3,1.6,1.3,75.1,1011.9,20.4,7.3,6.6,1.4,13.4,3.8,1.3,42.4,16.1,7.5,6.2,22.3,3.4,3.9,28.9,28,244.3,6.3,75.1,12.7,62,13.3,15.8,3860,3584,2001-2003,12609,14024,2919,113.1,54.6,12392,3391,2153,6964,4852,0,3,3,46,4,47,2,9,3009495,10.8,28.5,25.3
783,18,177,Wayne,Indiana,IN,35,69192,171,11.7,25,59,13.6,2.3,92.6,5.1,0.2,0.7,1.8,75.7,937.4,17.3,6.5,7.5,1.6,12.5,5.1,1.1,43.4,20.6,10.3,10.2,20.1,6.3,4,26,15.6,193.9,4.4,74.9,12,61.4,12.6,23.1,4446,4005,1999-2003,8521,11097,2152,70.8,52,10129,2351,1731,4704,2993,1,3,4,43,3,49,2,25,1250208,9,27.5,26.6
793,19,13,Black Hawk,Iowa,IA,40,125891,222,11.5,22.7,63,11.8,2.5,89.6,7.8,0.2,1.2,2.4,78.2,769.5,12.7,5.4,7.7,1.4,12.7,3.2,1.9,38.7,7.3,6.5,5.1,15.5,3.6,2.9,20.2,17.9,156.2,2.7,50.6,13,65.2,8.4,21.7,4748,3384,2001-2003,10134,17122,3017,89,48.5,10849,3415,2279,7286,5428,10,4,4,39,3,49,21,15,971553,6.6,19.3,23.5
863,19,153,Polk,Iowa,IA,24,401006,704,8.6,25.8,63.3,9.2,1.7,90.3,4.9,0.3,3.1,5.6,77.9,782.5,10.5,5.1,6.8,1.3,11.9,2.8,1.6,29.2,10,5.8,5.1,15.2,3.9,1.9,26.8,18.9,198.3,3.1,56.8,10.6,51.3,11.3,16.9,18625,8506,2001-2003,34335,41609,6931,74.3,53.1,31298,9932,5232,22249,14321,29,4,23,209,4,150,53,81,891577,6.5,24,22.8
868,19,163,Scott,Iowa,IA,23,160998,352,10.3,25.5,62.4,10.4,1.8,89.9,6.2,0.3,1.9,4.4,77.3,846.5,10.2,5,7.1,1.3,11.6,4,1.7,38.9,14.8,5.5,4.3,14.7,2.8,2.7,24.6,20.3,153.8,3.3,59.4,11.2,71,10.9,20.2,6723,4001,2001-2003,15478,18923,3146,72.1,55.9,14582,4250,2842,8983,5965,12,4,5,44,3,105,31,52,813333,6.9,23.7,20.5
931,20,91,Johnson,Kansas,KS,36,506562,1062,4.8,26.2,63.6,8.7,1.4,90.7,3.7,0.4,3.8,5.1,80.3,703.8,7.8,4.2,6.1,0.9,9.7,1.2,2.9,14.9,5.9,4.5,4.3,8.3,3,1.5,23.9,16.4,101.6,1.9,47.7,7.7,55,10.7,12.2,21746,8591,2001-2003,34718,46513,4779,128.5,63.8,17123,13030,6393,31281,24368,20,3,14,123,3,171,42,86,295884,4.8,16.6,17.4
937,20,103,Leavenworth,Kansas,KS,38,73113,158,8.3,25.6,64.3,8.9,1.2,86.2,9.8,0.8,1.4,3.6,77,932,11.7,4.2,7.1,1.2,11.1,2.8,2.3,26.9,9.1,7.2,5.3,15.3,4.4,2.8,25.5,17.2,183.7,3.7,61.5,15.3,58.5,13.5,19.7,4597,2607,1999-2003,6040,6272,1063,42.4,52,6515,2046,955,4559,3657,3,3,11,28,3,49,19,21,7440,5.8,21.6,20.8
972,20,173,Sedgwick,Kansas,KS,25,466061,466,11.8,28.1,60.6,9.7,1.6,83.4,9.3,1.1,3.8,9.6,76.6,893.3,12.7,5.2,7.7,1.5,11.2,3.8,1.8,35.4,12.6,8.4,7.4,16.2,6.4,1.9,31.1,20.2,142.2,5.2,56.6,16.6,58.7,11.3,26,22574,11402,2001-2003,59433,50560,8481,98.5,41,44210,13780,9497,28084,22926,11,3,14,128,3,193,90,83,2469978,6.8,22.9,24.5
974,20,177,Shawnee,Kansas,KS,44,172365,313,10.9,25.2,60.9,12,1.9,86,9.1,1.4,1.2,8.1,75.9,930.4,12.8,5.1,7.6,1.2,12.6,4.5,2,41.1,9.5,7.7,6.3,17.4,4,3.6,25.4,22.2,170,11.1,62.2,15.7,60.1,14.4,22.6,7414,5230,2001-2003,18641,23128,4821,66.1,55.1,13696,5227,2715,10792,8416,3,3,10,67,4,61,25,20,1545313,6.7,19.6,26
990,20,209,Wyandotte,Kansas,KS,53,155750,1029,16.1,29,60.3,9,1.7,68.3,27,0.8,1.8,21,73.2,1062.5,17.6,6.3,7.9,1.5,11.6,6.6,1.4,53.5,20.4,10.1,8,15.1,7.2,2.9,26.7,23.1,148.6,25.9,79.3,16.5,70.8,17.1,23.7,8477,4669,2001-2003,28521,17320,4211,107.9,36,25394,6599,3579,9268,7635,2,3,5,55,3,76,45,47,4258037,7.7,28.2,27.4
1014,21,47,Christian,Kentucky,KY,28,70145,97,15.9,32.9,57.1,8.7,1.3,73.5,22.4,0.4,1.3,4.5,74.7,1043.9,21.3,7.4,8.7,1.5,13.2,3.2,0.9,24.5,19.5,6.3,5.8,7.4,3.1,3.2,27.3,20.4,232.6,6.8,78.9,18.8,62.4,11,26.1,7771,2993,1999-2003,12960,6678,1677,55.6,34.2,9071,2062,2322,4099,3988,2,3,4,82,4,61,142,22,236359,9.6,34.2,24.4
1024,21,67,Fayette,Kentucky,KY,40,268080,942,13,23.4,66.2,9.2,1.3,81.7,13.6,0.2,3,4.8,76.3,897.3,13.8,5.7,8.6,1.5,14.2,3,1.9,33.6,15.7,6.1,5.5,8.8,3.9,2.3,26.7,18.8,180,5.7,73,10.9,58.5,10,26.6,11105,6005,2001-2003,33169,25978,5288,182,98.5,24977,6800,11496,17826,16027,12,4,8,72,3,103,14,32,334536,5.9,23,20.8
1037,21,93,Hardin,Kentucky,KY,32,96947,154,11.3,27.8,61.3,9.8,1,83.3,11.7,0.4,2.2,3.3,76.1,920.7,20.2,7.1,7.9,1.5,12.4,3.4,1.1,28.4,19.7,7.8,6.6,15.3,5,2.6,19.2,26.6,146.8,2.5,79.1,18.3,63,10.2,21.3,7338,3403,1999-2003,12359,9827,2514,80.5,51.6,10826,2811,5210,6105,5555,1,3,19,40,3,66,14,33,486298,7.8,29.9,24.6
1046,21,111,Jefferson,Kentucky,KY,39,699827,1817,13.3,25.1,61.6,11.7,1.6,76.6,20,0.2,1.7,2.3,75.3,975.1,17.2,6.6,8.9,1.8,13.7,3.9,1.8,42.2,10.3,6.6,5.4,10.4,4,2.6,28.2,26.3,168.5,7.2,76.4,11.8,61.5,12.7,25.5,29266,21413,2001-2003,75734,92502,18964,131.9,77.4,85895,21911,29459,45492,37773,27,3,21,199,3,292,243,292,12708667,7.6,26.7,25.5
1049,21,117,Kenton,Kentucky,KY,23,153665,949,10.7,27,62.1,9.7,1.3,93.6,4.2,0.1,0.9,1.4,76.1,987.5,17.9,6.8,7.5,1.4,11.6,3.3,1.9,34.5,8.9,8.8,8.2,18.5,6,2.8,35.5,25.1,164.3,3.1,78.7,10.1,55.9,13.8,31.2,7021,4007,2001-2003,14557,16008,3524,104.1,39.7,18046,4423,4291,9749,8292,14,4,5,35,3,100,194,50,26097,7.3,32.7,23.6
1063,21,145,McCracken,Kentucky,KY,35,64698,258,15.4,23.5,60.7,13.4,2.4,86.9,10.9,0.2,0.6,1.2,75.4,944.9,24.5,7.2,9.3,1.9,14.1,4,1.6,37.5,10.2,7.3,6.6,11,5.6,1.7,20.1,19.4,244,5.9,68.7,21.7,66.5,18.9,25.1,4102,3842,1999-2003,7895,9729,2254,92.7,66.5,8818,1887,2918,4288,3477,1,3,3,58,4,46,189,23,4088114,9.6,25.9,25.7
