,State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Number_Counties,Population_Size,Population_Density,Poverty,Age_19_Under,Age_19_64,Age_65_84,Age_85_and_Over,White,Black,Native_American,Asian,Hispanic,ALE,All_Death,Health_Status,Unhealthy_Days,LBW,VLBW,Premature,Under_18_deaths,Over_40_deaths,Unmarried,Late_Care,Infant_Mortality,IM_Wh_Non_Hisp,IM_Bl_Non_Hisp,IM_Neonatal,IM_Postneonatal,Brst_Cancer,Col_Cancer,CHD,Homicide,Lung_Cancer,MVA,Stroke,Suicide,Injury,Total_Births,Total_Deaths,MOBD_Time_Span,Uninsured,Elderly_Medicare,Disabled_Medicare,Prim_Care_Phys_Rate,Dentist_Rate,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Ecol_Rpt,Ecol_Rpt_Ind,Ecol_Exp,Salm_Rpt,Salm_Rpt_Ind,Salm_Exp,Shig_Rpt,Shig_Exp,Toxic_Chem,Diabetes,Smoker,Obesity
2928,51,650,Hampton City,Virginia,VA,40,145579,2811,13.1,25.8,63.1,9.8,1.3,48.2,47.1,0.4,2.2,3.3,75.6,913.2,11.9,6,9.8,2.3,14,4.1,2.1,43.2,18.7,11.6,9.8,13.7,8,3.6,31.4,25.4,190.8,8.6,60.1,7.1,61.8,8.5,21.5,5611,3410,2001-2003,19461,15615,2966,52.2,48.8,13521,3227,1918,8151,7307,1,3,4,33,3,57,24,17,110083,6.9,21.5,23.8
2930,51,670,Hopewell City,Virginia,VA,53,22690,2216,16.4,28.1,57.4,12.6,1.9,60.1,37.2,0.4,1.1,4,73.1,1111.7,22.3,7.7,10,2.1,14.4,7.4,0.9,54.9,19.5,10.5,8.4,12.8,8,2.6,28.3,27,224.4,9.7,90.6,16.6,79.9,14.4,27.5,3525,2654,1994-2003,3553,3416,717,92.6,57.3,4106,594,503,1226,1033,1,3,2,51,4,36,36,18,4258762,9.9,31.2,25.8
2932,51,680,Lynchburg City,Virginia,VA,35,66973,1356,17.5,25.6,57.5,13.9,3,66.9,29.8,0.2,1.7,1.5,75,953.8,14.8,5.6,8.1,2.2,11.9,5.2,1.7,44.6,7.3,9.2,5,15.9,6.4,2.8,25.2,15.9,155.3,8.7,67,11.7,89.1,11,24.5,4221,4057,1999-2003,7774,12291,2675,158.3,89.6,8906,1372,1231,3778,3753,2,4,3,122,4,46,71,23,1973690,9.2,27.6,24
2936,51,700,Newport News City,Virginia,VA,53,179899,2634,14,30.4,59.1,9.1,1.4,52,42.2,0.4,2.7,4.4,74.7,931.7,14.4,6.5,10.4,2.6,12.7,3.5,1.5,43.9,16.3,11.7,7.6,15.8,8.1,3.5,27.7,19.3,185.5,12.8,66,8.2,72.2,10.1,21.2,9587,4220,2001-2003,27552,17836,3666,91.2,59.5,17277,4120,2710,9437,8184,2,3,5,92,4,86,59,54,421627,8.5,28.5,26
2937,51,710,Norfolk City,Virginia,VA,53,231954,4317,19.8,28.5,61.4,8.5,1.6,49.2,44.9,0.4,3.1,4.1,73.3,1032.2,12.5,6,10.6,2.3,14.4,4.3,1.6,48.8,20.5,11,7.5,14,7.8,3.2,31.8,21,190,14.5,74,8.7,69.9,12.6,21.2,12143,6226,2001-2003,41142,22937,4748,140.5,46.1,29003,5439,4070,12535,12613,3,3,7,70,3,113,302,71,939068,6.6,21,24.9
2941,51,740,Portsmouth City,Virginia,VA,53,100169,3021,16.5,28.1,58.7,11.1,2,44.7,52.3,0.5,1,2,72.8,1024.7,19.3,6.1,10.7,2.4,15.5,5.6,1.4,51.6,23.1,14.2,10.6,17.7,9.9,4.2,35.4,25.9,189.9,13.7,72.1,13.3,82,13.4,23.9,4726,3254,2001-2003,15188,12997,2745,68.9,43.9,15581,2519,1742,5431,4804,1,3,3,31,3,48,92,30,618521,12,22.4,30.7
2943,51,760,Richmond City,Virginia,VA,33,193777,3226,20.2,25.4,60.7,11.4,2.5,40.8,56.2,0.2,1.6,3.6,71.1,1107.4,13.6,5.8,12.6,3,16.3,6.3,2.4,60.4,21.9,14.8,5.1,20.1,9.5,5.3,34.4,22.7,169.4,35.3,72.6,11.4,78.5,11.5,36.5,9287,6989,2001-2003,32762,29914,6521,133.1,78.4,31037,5195,2743,10895,9573,3,4,12,143,4,112,276,106,1115895,8.2,26,24.8
2944,51,770,Roanoke City,Virginia,VA,35,92631,2160,16.9,24.6,58.7,13.7,3,69.8,27.1,0.2,1.4,2.2,73.6,1046.6,19.5,6.9,8.6,2.1,10.4,5.5,1.6,47.1,4.7,10.5,9.5,12,6.4,4.2,29.3,22.3,177.3,12,63.4,10.1,68,16.1,32.1,6456,6277,1999-2003,13355,19656,4234,163,52.9,15403,1918,3011,5240,4024,5,4,5,98,4,66,153,33,4764548,8.7,29.4,21
2947,51,800,Suffolk City,Virginia,VA,37,78994,197,11.4,27.4,62.2,9.1,1.3,55.3,42,0.3,1.3,1.9,74.2,1061.8,17.9,4.7,10,2.3,14.5,4.5,2,37.6,13.7,10.3,6,14.4,6.5,3.8,37,28.5,190.4,6.5,72.4,16.8,77.9,9.5,22.2,5061,3196,1999-2003,8171,7638,2068,108.9,25.3,11782,1352,1807,4324,3744,0,3,3,47,4,57,39,27,8410,6.9,17.7,26.1
2948,51,810,Virginia Beach City,Virginia,VA,36,438415,1766,8,27.9,62.5,8.5,1.1,71.5,20,0.4,5.4,4.7,77.8,812.7,10,6.1,7.3,1.7,11.5,2.1,2.4,28.5,11.5,7.1,6.4,10.5,4.7,2.4,25.6,19.2,157.2,3.9,61.7,8,55.9,9.8,19.9,18786,7655,2001-2003,52101,37466,5594,86.7,58.6,26852,7681,5146,23838,20722,7,3,13,161,4,155,294,78,42280,5.1,21.5,19.5
2968,53,33,King,Washington,WA,34,1793583,844,9.4,22.7,66.8,8.8,1.7,76.2,5.9,1,13.5,6.4,79.2,712.2,10.5,5.6,6,0.9,9.5,1.6,4.2,22.5,-2222.2,4.9,4.1,9.3,3.2,1.6,23.9,16.2,134.2,3.9,49.3,8.1,59.9,10.6,19.4,66179,34777,2001-2003,199182,178032,23849,143.4,77.1,121177,48959,37683,110784,115235,108,4,53,719,4,475,289,264,1258844,5.2,16,16.8
2978,53,53,Pierce,Washington,WA,39,753787,449,10.7,26.7,62.9,8.9,1.4,80.1,7.1,1.5,6.6,6.3,77,879.8,13.5,6.3,6.3,1.2,10.2,2.8,2,32.1,-2222.2,7.1,7.2,9.7,4.7,2.5,24.9,18,193.6,4.7,62.4,12.2,73.5,13.4,25.7,30093,16354,2001-2003,89728,72266,14321,80.3,43.8,63425,22124,24223,44316,50011,32,3,22,200,3,307,91,307,1512527,7.2,22.5,23.9
2982,53,61,Snohomish,Washington,WA,32,655944,314,9.4,26.4,64.2,8.2,1.3,85.5,2.2,1.5,7.8,6,78.4,806.5,12.3,6.3,5.7,0.9,9.7,2,2.8,25.3,-2222.2,5.3,4.7,8.9,3.2,2.1,23.6,17,161.1,2.3,55.6,11.3,66.7,12.3,23.9,25627,12237,2001-2003,77451,56568,9092,55.5,42.5,46474,17700,17341,38715,42510,43,4,19,213,3,246,53,76,744825,5.5,21.7,22.2
3010,54,39,Kanawha,West Virginia,WV,53,193559,214,15.2,22,61.6,14.4,2,90.3,7.1,0.2,0.9,0.6,74.8,1016.4,20.4,7.9,8.9,1.2,14.3,4,1.6,37.7,13.8,7.7,7.4,11.4,4.5,3.2,22,27.3,195.9,6.8,72.7,19,59.6,15,29,7109,7532,2001-2003,22630,32560,7725,146.2,66.6,27639,4465,11198,14530,7813,2,3,6,58,3,94,2,59,8041486,10.3,25.7,27.5
3031,54,81,Raleigh,West Virginia,WV,54,79167,130,18,21.2,63.4,13.4,1.9,89.9,8.2,0.2,0.9,1,74.8,1016.1,30.8,8.9,9.3,1.5,11.8,4.2,1.2,32.3,14,6.6,5.5,17.9,3.2,3.4,22.3,22.9,232.2,7.8,63.4,19.1,57.5,17.9,29.3,4368,4673,1999-2003,11403,11436,4437,80.8,48,15852,1511,5783,6000,3308,1,3,0,39,3,79,0,40,44705,11.4,26.3,26.1
3058,55,25,Dane,Wisconsin,WI,24,458106,381,7.9,23.6,67,8,1.5,89.2,4.3,0.4,4.4,4.3,79.4,729.3,8.2,5.8,6.3,1,10.7,1.9,3.2,23.4,11.8,5,4.1,14.4,3.7,1.3,27.4,16.4,121.3,1.4,43.6,10,57.7,11.2,19.4,16832,8008,2001-2003,34449,41017,6678,159.6,49.6,23230,8884,6719,30013,26244,70,4,26,255,4,172,65,93,637164,4.2,18.2,18.6
3075,55,59,Kenosha,Wisconsin,WI,57,160544,588,8.8,27.2,61.8,9.3,1.7,90.8,5.7,0.4,1.4,8.8,77.2,857.8,11.1,5.8,6.8,1.4,11.5,3,2.2,33.3,15.1,5.6,5.3,12.7,3.8,1.9,25.8,18,175.4,2.4,58.6,13,67.1,13.6,23.3,6381,3763,2001-2003,16371,16011,2981,55.4,44.2,17131,4672,4045,10034,8408,5,3,9,73,4,60,29,18,806670,4.7,29.9,26.8
3086,55,79,Milwaukee,Wisconsin,WI,39,921654,3815,16.2,27.6,60.4,10,2,68,26.3,0.8,3,10.5,75.7,913.4,15,6.8,8.8,2,13,5.8,2,49.9,20.2,10.4,6.2,17.1,7,3.4,27.3,20.3,187.3,13.3,57,8.5,58.7,11.4,33.8,43885,26557,2001-2003,129707,112392,22024,110,65.2,116368,26824,33754,57255,48276,53,4,28,295,3,392,236,392,3956223,6.4,25.7,21.8
3097,55,101,Racine,Wisconsin,WI,57,195708,588,9.3,26.2,61.7,10.3,1.8,86.3,10.9,0.4,1,9.2,77.2,796.9,10.2,5.5,7.5,1.6,12,4.2,2.1,38.2,17.9,10.9,8,28.1,7.7,3.3,18.1,17.8,140.4,2.3,55.1,14.2,60.1,11.6,23.4,7676,4595,2001-2003,20333,24136,4405,71.5,46,21960,5885,5817,12382,10212,19,4,11,97,4,74,30,23,97216,7.1,25.9,22.1
